key,ja,en
admin.create.subtitle,作成したメールアドレスとパスワードでログインできる運営アカウントを追加します。追加されたユーザーには自動的に管理者権限が付与されます。,Add an admin account that can be used to log in with the created email and password. Added users will automatically be granted administrator privileges.
admin.create.emailLabel,メールアドレス,Email Address
admin.create.passwordLabel,パスワード（6文字以上）,Password (6+ characters)
admin.create.displayNameLabel,表示名（任意）,Display Name (Optional)
admin.create.tokenLabel,登録コード（任意／運用時は必須）,Registration Code (required in prod)
admin.create.tokenHelper,`.env` の ADMIN_SIGNUP_TOKEN と一致させて入力してください。未設定の環境では空欄で作成できます。,Enter the same value as ADMIN_SIGNUP_TOKEN in `.env`. Leave empty if not set.
admin.create.cancel,キャンセル,Cancel
admin.create.submit,作成する,Create
admin.create.submitting,作成中...,Creating...
admin.create.errorFailed,管理者アカウントの作成に失敗しました。時間をおいて再度お試しください。,Failed to create admin account. Please try again later.
admin.create.errorInvalidResponse,サーバーが不正なレスポンスを返しました。,The server returned an invalid response.
match.dateNotSet,日付未設定,Date Not Set
match.pending,未決定,Pending
match.completed,完了,Completed
match.wins,勝,Win
match.losses,負,Loss
match.draws,引分,Draw
common.total,合計,Total
common.teams,チーム,Teams
common.add,追加,Add
common.edit,編集,Edit
common.delete,削除,Delete
common.save,保存,Save
common.cancel,キャンセル,Cancel
common.refresh,更新,Refresh
common.back,戻る,Back
common.close,閉じる,Close
common.confirm,確認,Confirm
common.loading,読み込み中...,Loading...
common.error,エラー,Error
common.success,成功,Success
app.title,Katorin Match Manager,Katorin Match Manager
app.selectedTournament,選択中の大会,Selected Tournament
app.changeTournament,大会を変更,Change Tournament
app.logout,ログアウト,Logout
app.tournamentSelectedMessage,「{{tournamentName}}」を選択しました。, "{{tournamentName}}" selected.
app.managingTournamentMessage,現在「{{tournamentName}}」を管理しています。,Currently managing "{{tournamentName}}".
app.matchManagement,対戦管理,Match Management
app.teamParticipantManagement,チーム・参加者管理,Team/Participant Management
app.participantScreenComingSoonTitle,参加者用画面は準備中です,Participant screen is coming soon
app.participantScreenComingSoonDescription,現在は運営アカウントのみ管理ツールをご利用いただけます。参加者向けの機能は今後追加予定です。,Currently, only admin accounts can use the management tool. Participant features will be added in the future.
app.tournamentCreatedMessage,「{{tournamentName}}」を作成しました。, "{{tournamentName}}" created.
auth.passwordReset.successEmailSent,パスワードリセットのリンクを生成しました。メールをご確認ください。,Password reset link generated. Please check your email.
auth.passwordReset.sendResetLink,リセットリンクを送信,Send Reset Link
language.japanese,日本語,Japanese
language.english,English,English
duel.vs,VS,VS
duel.player,PLAYER,PLAYER
duel.deck,DECK,DECK
duel.serverError,サーバーが不正なレスポンスを返しました。,The server returned an invalid response.
duelInput.team,チーム,Team
duelInput.player,選手,Player
duelInput.deck,デッキ,Deck
duelInput.score,スコア,Score
duelInput.date,日付,Date
duelInput.addRecord,対戦記録を追加,Add Match Record
duelInput.editRecord,対戦記録を編集,Edit Match Record
duelInput.cancel,キャンセル,Cancel
duelInput.add,追加,Add
duelInput.update,更新,Update
duelInput.noTournamentOrRound,大会またはラウンドが選択されていません。,No tournament or round selected.
duelInput.matchRecordList,対戦記録一覧,Match Record List
duelInput.action,アクション,Action
duelInput.noRecords,まだ対戦記録がありません。「対戦記録を追加」から登録してください。,No match records yet. Please register from "Add Match Record".
duelInput.deleteConfirmation,削除の確認,Confirm Deletion
duelInput.deleteConfirmationMessage,この対戦記録を削除しますか?,Are you sure you want to delete this match record?
duelInput.delete,削除する,Delete
resultEntry.notRegistered,対戦未登録,Not Registered
resultEntry.pending,結果未確定,Pending
resultEntry.win,勝利,Victory
resultEntry.draw,引き分け,Draw
resultEntry.fetchError,対戦情報の取得に失敗しました。再度お試しください。,Failed to retrieve match information. Please try again.
resultEntry.resultConfirmed,結果を確定しました。,Result has been confirmed.
resultEntry.resultUnconfirmed,結果の確定を取り消しました。,Result confirmation has been cancelled.
resultEntry.saveFailed,結果の保存に失敗しました。入力内容を確認し、再度お試しください。,Failed to save result. Please check your input and try again.
resultEntry.matchScore,対戦スコア,Match Score
resultEntry.teamNotSet,チーム未設定,Team Not Set
resultEntry.roundList,ラウンド一覧,Round List
matchManager.serverError,サーバーが不正なレスポンスを返しました。,The server returned an invalid response.
matchManager.fetchRoundsFailed,ラウンド一覧の取得に失敗しました。時間をおいて再度お試しください。,Failed to retrieve round list. Please try again later.
matchManager.fetchMatchesFailed,対戦データの取得に失敗しました。時間をおいて再度お試しください。,Failed to retrieve match data. Please try again later.
matchManager.teamNotSet,チーム未設定,Team Not Set
matchManager.closed,締め済み,Closed
matchManager.inProgress,進行中,In Progress
matchManager.matchAdded,対戦を追加しました。,Match has been added.
matchManager.matchUpdated,対戦を更新しました。,Match has been updated.
matchManager.matchDeleted,対戦を削除しました。,Match has been deleted.
matchManager.roundCreated,第{{number}}回戦を作成しました。,Round {{number}} has been created.
matchManager.createRoundFailed,ラウンドの作成に失敗しました。,Failed to create round.
matchManager.roundClosed,第{{number}}回戦を締めました。,Round {{number}} has been closed.
matchManager.closeRoundFailed,ラウンドの締めに失敗しました。,Failed to close round.
matchManager.roundReopened,第{{number}}回戦を再開しました。,Round {{number}} has been reopened.
matchManager.reopenRoundFailed,ラウンドの再開に失敗しました。,Failed to reopen round.
matchManager.matchManagement,対戦管理,Match Management
matchManager.round,第{{number}}回戦,Round {{number}}
matchManager.addMatch,対戦を追加,Add Match
matchManager.noMatches,まだ対戦が登録されていません。,No matches registered yet.
matchManager.createRound,次のラウンドを作成,Create Next Round
matchManager.closeRound,このラウンドを締める,Close This Round
matchManager.reopenRound,このラウンドを再開,Reopen This Round
matchManager.deleteMatch,対戦を削除,Delete Match
matchManager.deleteConfirmation,この対戦を削除しますか?,Are you sure you want to delete this match?
matchManager.editMatch,対戦を編集,Edit Match
matchManager.title,対戦管理ツール,Match Management Tool
matchManager.description,チーム同士の対戦カードを一覧で確認できます,View match cards between teams
matchManager.matchList,対戦一覧,Match List
matchManager.participantManagement,参加者管理,Participant Management
matchManager.matchCardList,対戦カード一覧,Match Card List
matchManager.matchCardListDescription,各対戦カードの詳細を確認・編集できます,View and edit details of each match card
matchManager.createMatch,対戦を作成,Create Match
matchManager.reload,再読み込み,Reload
matchManager.loadingRounds,ラウンドを読み込み中です…,Loading rounds...
matchManager.noRoundsYet,まだラウンドが作成されていません,No rounds created yet
matchManager.createFirstRoundPrompt,第1回戦を作成してください,Please create the first round
matchManager.createFirstRound,第1回戦を作成,Create First Round
matchManager.roundNumber,第{{number}}回戦,Round {{number}}
matchManager.createNewRound,新しいラウンドを作成,Create New Round
matchManager.reopenThisRound,このラウンドを再開,Reopen This Round
matchManager.closeThisRound,このラウンドを締める,Close This Round
matchManager.roundClosedCanReopen,このラウンドは締め済みです。後続ラウンドがないため再開できます。,This round is closed. It can be reopened as there are no subsequent rounds.
matchManager.roundClosedCannotReopen,このラウンドは締め済みです。後続ラウンドがあるため再開できません。,This round is closed. It cannot be reopened as there are subsequent rounds.
matchManager.awaitingResult,結果待ち,Awaiting Result
matchManager.toResultEntry,結果入力へ,To Result Entry
matchManager.noMatchesYet,対戦カードがまだ登録されていません,No match cards registered yet
matchManager.createMatchPrompt,「対戦を作成」から新しい対戦を登録してください,Please create a new match from "Create Match"
matchManager.participantManagementComingSoon,参加者管理は準備中です,Participant management is coming soon
matchManager.participantManagementDescription,チームや参加者の管理機能を今後追加予定です,Team and participant management features will be added in the future
matchManager.roundNameOptional,ラウンド名は任意です,Round name is optional
matchManager.roundNameLabel,ラウンド名（任意）,Round Name (Optional)
matchManager.roundNamePlaceholder,例: 予選プール,e.g., Qualifying Pool
matchManager.cancel,キャンセル,Cancel
matchManager.creating,作成中...,Creating...
matchManager.create,作成する,Create
matchManager.deleteMatchTitle,対戦を削除,Delete Match
matchManager.deleteMatchConfirmation,この対戦を削除しますか？,Are you sure you want to delete this match?
matchManager.deleting,削除中...,Deleting...
matchManager.delete,削除する,Delete
matchManager.deleteMatchFailed,対戦の削除に失敗しました。,Failed to delete match.
matchManager.totalMatches,総対戦 {{count}},Total Matches {{count}}
matchManager.completed,結果確定 {{count}},Completed {{count}}
matchManager.pending,結果待ち {{count}},Pending {{count}}
matchManager.registeredTeams,登録チーム {{count}},Registered Teams {{count}}
matchManager.setInputPermission,入力権限を設定,Set Input Permission
matchManager.inputPermissionTitle,入力権限の設定,Set Input Permission
matchManager.inputPermissionDescription,この対戦の結果入力を許可する対象を選択してください。"admin" は運営のみ、特定チームを選ぶとそのチームのみ入力可能になります。,Select who can enter results for this match. "admin" allows admins only; choosing a specific team allows only that team to enter.
matchManager.permissionNone,未許可（入力不可）,Not Allowed (No Input)
matchManager.permissionAdmin,運営のみ（常時可）,Admin Only (Always Allowed)
matchManager.updatePermissionFailed,入力権限の更新に失敗しました。,Failed to update input permission.
matchManager.saving,保存中...,Saving...
matchManager.save,保存,Save
teamManagement.title,チーム管理,Team Management
teamManagement.createTeam,チームを作成,Create Team
teamManagement.editTeam,チームを編集,Edit Team
teamManagement.teamName,チーム名,Team Name
teamManagement.username,ユーザー名,Username
teamManagement.password,パスワード,Password
teamManagement.leaveBlankForNoChange,変更しない場合は空欄のままにしてください,Leave blank if no change
teamManagement.noTeams,チームがまだ登録されていません,No teams registered yet
teamManagement.fetchError,チーム情報の取得に失敗しました,Failed to fetch team information
teamManagement.saveError,チームの保存に失敗しました,Failed to save team
teamManagement.deleteError,チームの削除に失敗しました,Failed to delete team
teamManagement.confirmDelete,このチームを削除しますか？,Are you sure you want to delete this team?
teamManagement.allFieldsRequired,すべての項目を入力してください,All fields are required
teamManagement.generatedPassword,自動生成されたパスワード,Generated Password
teamManagement.copySuccess,パスワードをコピーしました！,Password copied!
teamManagement.teamNameRequired,チーム名を入力してください。,Please enter a team name.
teamManagement.exportTeams,チームをエクスポート,Export Teams
teamManagement.downloadTemplate,テンプレートをダウンロード,Download Template
teamManagement.importTeams,チームをインポート,Import Teams
teamManagement.exportError,チームのエクスポートに失敗しました。,Failed to export teams.
teamManagement.importError,チームのインポートに失敗しました。,Failed to import teams.
teamManagement.importSuccess,{{teams}} チームと {{participants}} 参加者をインポートしました。,Imported {{teams}} teams and {{participants}} participants.
participantManagement.title,参加者管理,Participant Management
participantManagement.titleForTeam,{{teamName}} の参加者,Participants of {{teamName}}
participantManagement.addParticipant,参加者を追加,Add Participant
participantManagement.editParticipant,参加者を編集,Edit Participant
participantManagement.participantName,参加者名,Participant Name
participantManagement.grantEditPermission,編集権限を付与,Grant edit permission
participantManagement.moveToTeam,移動先チーム,Move to team
participantManagement.canEdit,編集可能,Can edit
participantManagement.cannotEdit,編集不可,Cannot edit
participantManagement.noParticipants,参加者がまだ登録されていません,No participants registered yet
participantManagement.fetchError,参加者情報の取得に失敗しました,Failed to fetch participant information
participantManagement.fetchTeamError,チーム情報の取得に失敗しました,Failed to fetch team information
participantManagement.fetchTeamsForMoveError,移動先チームの取得に失敗しました,Failed to fetch teams for moving
participantManagement.saveError,参加者の保存に失敗しました,Failed to save participant
participantManagement.deleteError,参加者の削除に失敗しました,Failed to delete participant
participantManagement.confirmDelete,この参加者を削除しますか？,Are you sure you want to delete this participant?
participantManagement.nameRequired,参加者名を入力してください,Please enter participant name
participantManagement.teamIdMissing,チームIDが指定されていません,Team ID is missing
teamLoginForm.title,チームログイン,Team Login
teamLoginForm.username,ユーザー名,Username
teamLoginForm.password,パスワード,Password
teamLoginForm.loginButton,ログイン,Login
teamLoginForm.backToAdminLogin,運営ログインに戻る,Back to Admin Login
teamLoginForm.loginFailed,ログインに失敗しました,Login failed
teamLoginForm.networkError,ネットワークエラーが発生しました,Network error occurred
teamLoginForm.tournamentCodeLabel,大会コード,Tournament Code
common.create,作成,Create
matchCreateDialog.createMatch,対戦を作成,Create Match
matchCreateDialog.editMatch,対戦を編集,Edit Match
matchCreateDialog.createMatchDescription,新しい対戦カードを作成します。,Create a new match card.
matchCreateDialog.editMatchDescription,対戦カードの詳細を編集します。,Edit the details of the match card.
matchCreateDialog.homeTeam,ホームチーム,Home Team
matchCreateDialog.awayTeam,相手チーム,Away Team
matchCreateDialog.selectTeam,チームを選択,Select Team
matchCreateDialog.matchDate,日付,Date
matchCreateDialog.fetchTeamsError,チーム一覧の取得に失敗しました,Failed to fetch teams
matchCreateDialog.roundNotSelected,ラウンドが選択されていません,No round selected
matchCreateDialog.updateFailed,対戦の更新に失敗しました,Failed to update match
matchCreateDialog.createFailed,対戦の作成に失敗しました,Failed to create match
matchCreateDialog.noTeamsRegistered,チームが登録されていません。先にチームを登録してください。,No teams are registered. Please register teams first.
common.updating,更新中...,Updating...
common.creating,作成中...,Creating...
common.update,更新,Update
teamDashboard.title,チーム管理ダッシュボード,Team Management Dashboard
teamDashboard.subtitle,{{teamName}} のメンバーと試合結果を管理します,Manage members and match results for {{teamName}}
teamDashboard.noDate,日付未設定,No date set
teamDashboard.loadTeamFailed,チーム情報の取得に失敗しました。,Failed to load team information.
teamDashboard.loadParticipantsFailed,メンバー一覧の取得に失敗しました。,Failed to load members.
teamDashboard.loadMatchesFailed,試合結果の取得に失敗しました。,Failed to load match results.
teamDashboard.saveParticipantFailed,メンバーの保存に失敗しました。,Failed to save member.
teamDashboard.deleteParticipantFailed,メンバーの削除に失敗しました。,Failed to delete member.
teamDashboard.saveMatchFailed,試合結果の保存に失敗しました。,Failed to save match result.
teamDashboard.deleteMatchFailed,試合結果の削除に失敗しました。,Failed to delete match result.
teamDashboard.retry,再試行,Retry
teamDashboard.memberCount,登録: {{total}} 名 (編集権限: {{editable}} 名),Members: {{total}} (Editors: {{editable}})
teamDashboard.refresh,最新の状態に更新,Refresh
teamDashboard.signOut,ログアウト,Sign out
teamDashboard.membersTab,メンバー管理,Members
teamDashboard.matchesTab,試合結果,Matches
teamDashboard.membersSection,メンバー一覧,Team Members
teamDashboard.membersDescription,チームメンバーを追加・編集し、編集権限を付与できます。,Add or edit team members and grant edit permissions.
teamDashboard.addMember,メンバーを追加,Add member
teamDashboard.noMembers,まだメンバーが登録されていません。,No members have been registered yet.
teamDashboard.canEdit,編集権限あり,Can edit
teamDashboard.cannotEdit,閲覧のみ,View only
teamDashboard.updatedAt,最終更新: {{value}},Updated: {{value}}
teamDashboard.memberNameRequired,メンバー名を入力してください。,Please enter a member name.
teamDashboard.editMember,メンバーを編集,Edit member
teamDashboard.deleteMember,メンバーを削除,Delete member
teamDashboard.memberNameLabel,メンバー名,Member name
teamDashboard.memberCanEditLabel,このメンバーに編集権限を付与,Allow this member to edit
teamDashboard.cancel,キャンセル,Cancel
teamDashboard.saving,保存中...,Saving...
teamDashboard.save,保存,Save
teamDashboard.confirmDeleteMember,{{name}} を削除しますか？,Delete {{name}}?
teamDashboard.deleting,削除中...,Deleting...
teamDashboard.delete,削除,Delete
teamDashboard.matchesSection,試合一覧,Match Results
teamDashboard.matchesDescription,自チームの試合結果を登録・更新できます。,Create and update match records for your team.
teamDashboard.addMatch,試合結果を追加,Add match
teamDashboard.noMatches,まだ試合結果が登録されていません。,No match results have been recorded yet.
teamDashboard.unknownOpponent,対戦相手未設定,Opponent not set
teamDashboard.matchScore,スコア: {{self}} - {{opponent}},Score: {{self}} - {{opponent}}
teamDashboard.matchPlayer,担当: {{player}} / デッキ: {{deck}},Player: {{player}} / Deck: {{deck}}
teamDashboard.noPlayer,プレイヤー未設定,Player not set
teamDashboard.noDeck,デッキ未設定,Deck not set
teamDashboard.editMatch,試合結果を編集,Edit match
teamDashboard.deleteMatch,試合結果を削除,Delete match
teamDashboard.matchPlayerLabel,自チームのプレイヤー,Your player
teamDashboard.matchDeckLabel,使用デッキ,Deck
teamDashboard.selfScoreLabel,自チームのスコア,Your score
teamDashboard.opponentScoreLabel,相手のスコア,Opponent score
teamDashboard.opponentTeamLabel,対戦相手チーム,Opponent team
teamDashboard.opponentPlayerLabel,相手プレイヤー,Opponent player
teamDashboard.opponentDeckLabel,相手デッキ,Opponent deck
teamDashboard.matchDateLabel,試合日,Match date
teamDashboard.tournamentIdLabel,大会ID (任意),Tournament ID (optional)
teamDashboard.tournamentIdHelper,必要に応じて大会IDを関連付けます。,Link a tournament ID when needed.
teamDashboard.roundIdLabel,ラウンドID (任意),Round ID (optional)
teamDashboard.roundIdHelper,大会のラウンドIDがある場合は入力してください。,Set the round ID if the tournament uses one.
teamDashboard.confirmDeleteMatch,この試合結果（相手: {{opponent}}）を削除しますか？,Delete this match result (opponent: {{opponent}})?
matchManager.roundList.title,ラウンド一覧,Round List
matchManager.roundList.noRounds,ラウンドがまだ作成されていません,No rounds have been created yet.
matchManager.roundList.createFirstRound,最初のラウンドを作成,Create First Round
teamDashboard.analyticsTab,分析,Analytics
analytics.title,戦績分析,Match Analytics
teamResultEntry.title,試合結果入力,Result Entry
teamResultEntry.loading,読み込み中...,Loading...
teamResultEntry.viewOnly,この試合は参照のみです。,This match is view-only.
teamResultEntry.selfScore,自チームスコア,Home Team Score
teamResultEntry.opponentScore,相手チームスコア,Away Team Score
teamResultEntry.backToList,一覧へ戻る,Back to List
teamResultEntry.cancel,取消,Cancel
teamResultEntry.save,保存,Save
teamResultEntry.finalize,確定,Finalize
common.inputResult,結果入力,Enter Result
